comer;essen
el zumo (de fruta);(Frucht-)Saft
la pasta ;Nudeln, Teigwaren
los cereales;Getreide(flocken), Müsli
la cerveza;Bier
el producto ;Produkt
lo/la/los/las;ihn / es / sie 
el ajo;Knoblauch 
tomar;trinken, essen 
maduro/-a;reif
el alcohol;Alkohol 
todos los días;jeden Tag
una vez al día;einmal am Tag
2-3 veces a la semana;zwei- bis dreimal pro Woche
pocas veces;selten
nunca;nie
desayunar;frühstücken
beber;trinken
cenar;zu Abend essen
delante del ordenador / de la tele ;vor dem Computer / dem Fernseher
la comida congelada;Tiefkühlkost 
preferir (ie);bevorzugen 
poder (ue);können, dürfen 
vegetariano/-a;vegetarisch 
vegano/-a;vegan
soler (ue) + inf ;etw. zu tun pflegen
el euro ;Euro 
por la mañana;morgens, am Morgen
los hábitos de comida;Essgewohnheiten
el tipo;Art
el dinero;Geld
gastar;ausgeben
ayudar;helfen
el bocadillo;belegtes Brötchen
la albóndiga;Hackfleischbällchen
la tarta de manzana ;Apfelkuchen
la ensalada mixta ;gemischter Salat 
el filete empanado;paniertes Schnitzel
el garbanzo ;Kichererbsen
la espinaca;Spinat
la merluza;Seehecht
la paella;Spanisches Reisgericht
el flan;Art Karamellpudding
caliente;warm, heiß
el postre;Nachtisch 
preparar;zubereiten
Lleva fruta.;Das ist mit Obst.
llevar;enthalten
el segundo (plato);Hauptspeise, zweiter Gang
el arroz;Reis 
otro/-a;ein/e andere/r/s
el ingrediente;Zutat
el guiso ;Schmorgericht, Eintopf 
el origen;Ursprung, Herkunft
el modo de tomarlo;Einnahmeweise
picante ;scharf
el mapa;Landkarte
muchas veces;oft
mucho/-a;viel/e
gustar;schmecken
caro/-a;teuer
Es bueno/-a para la salud.;Das ist gesund.
el comedor universitario;(Universitäts-)Mensa
el hambre ;Hunger
el /la vegetariano/-a ;Vegetarier/in
el martes;Dienstag
(el) septiembre;September
el menú ;"Speisekarte; Menü"
el primero ;Vorspeise, erster Gang 
el plato del día;Tagesessen, -gericht 
Incluye pan, bebida y postre.;Brot, Getränk und Nachtisch inbegriffen.
los espaguetis ;Spaghetti 
a la sidra ;in Cidre
al horno;Brat-
el aceite;(Speise-)öl
la tortilla española;Kartoffelomelett
vegetal;Pflanzen-, pflanzlich 
desde;ab 
de primero ;als Vorspeise 
de segundo;als Hauptspeise 
de postre;als Nachtisch
querer (ie); wollen, mögen 
pedir (i);bestellen, erbitten 
para beber ;zu trinken
el / la camarero/-a ;Kellner/in
el /la cliente/-a;Kunde/-in
¿Qué tomáis?;Was möchtet ihr essen / trinken?
¿Qué os pongo?;Was darf ich euch bringen?
Son 3,50 €.;Das macht 3,50 €.
¿Me cobra/s?;Bitte zahlen!
cobrar;kassieren
barato/-a ;billig
la cocina;Küche, Kochkunst
latino/-a;Latin-
el día de cierre;Schließtag 
cerrar (je);schließen
Abierto el domingo ;Sonntags geöffnet 
abierto/-a ;geöffnet, offen
el domingo;Sonntag
el precio ;Preis
de... a ;von ... bis
la descripción;Beschreibung 
estar situado/-a ;liegen (geografisch)
la playa;Strand
contar (ue) con ;verfügen über
la terraza;Terrasse
exterior;äußere/r/s
colombiano/-a;kolumbianisch
peruano/-a;peruanisch
disponer (g) de ;verfügen über
destacar;herausragen
maravilloso/-a ;wunderbar
el cebiche (LA);Gericht aus rohem Fisch
excelente;ausgezeichnet
el jugo (LA);Saft
el tonel ;Fass
el pincho ;Snack, Häppchen
el calamar;Tintenfisch
las patatas bravas;wilde Kartoffeln mit scharf gewürzter Soße
la croqueta;Krokette
casero/-a;hausgemacht
el lunes;Montag
menos de ;weniger als 
el bar ;Bar, Kneipe
la ración;Portion 
desde... a;von ... bis
al ajillo;in Knoblauchsoße
el centro;Zentrum, Stadtmitte 
ideal;ideal
la reserva;Reservierung
la tarjeta (de crédito);(Kredit-)Karte
accesible;zugänglich, hier: barrierefrei
el menú especial ;Spezial-Menü
el parking ;Parkplatz
el salón (para) fumadores;Speisesaal für Raucher
la entrega a domicilio ;Lieferung nach Hause
el miércoles;Mittwoch
el jueves;Donnerstag
el viernes;Freitag
el sábado;Samstag
moderado/-a;gemäßigt, maßvoll 
aparcar;parken 
abrir;öffnen 
biológico/-a;biologisch
Es apto para... ;Es ist geeignet für ..
la dieta;Ernährungsweise
¿Dónde está.. ?;Wo ist ...? 
estar ;sein, sich befinden 
cerca (de);in der Nähe (von)
¿Cómo es? ;Wie ist es?
tranquilo/-a ;ruhig
la (comida) rápida;Fastfood
¿Qué días abre?;An welchen Tagen ist geöffnet?
la hora ;Uhrzeit
el número de personas;Personenanzahl
el comentario;Kommentar
¿Qué hora es?;Wie viel Uhr ist es?
Es la una y media de la tarde.;Es ist halb zwei am Nachmittag.
de la tarde;nachmittags, am Nachmittag
Son las dos menos cuarto.;Es ist Viertel vor zwei.
¿A qué hora...?;Um wie viel Uhr ...?
A las diez de la noche.;Um zehn Uhr abends.
... menos cuarto;Viertel vor genau / Punkt.
... en punto;Viertel nach .
... y cuarto ... y media;halb.
la opinión;Meinung 
enorme;riesig
a muy buen precio;zu einem sehr guten Preis 
excepto ;außer, mit Ausnahme von 
el ambiente ;Atmosphäre, Stimmung 
al mediodía;mittags
la calle;Straße
agradable ;angenehm, freundlich 
de la casa;"hauseigen; des Hauses"
grande;groß
Está muy rico/-a.;Es schmeckt sehr gut.
las patatas fritas;Pommes frites
después;danach
de los de siempre;typisch
lento/-a;langsam
esperar ;warten
el vídeo;Video(film)
sobre;über
echar de menos;vermissen
más;am meisten
la yuca;Maniok
el frijol (LA);Bohne
la langosta ;Languste
el tinto (LA);schwarzer Kaffee
Colombia ;Kolumbien
la papa (LA);Kartoffel 
llamar;nennen
el banano (LA);Banane
el congrí (LA);Gericht aus Reis und Bohnen
cubano/-a;kubanisch
sobre todo;vor allem, vor allen Dingen 
según;laut seiner / ihrer Aussage 
típico/-a;typisch
el horario de comidas ;Essenszeiten
en medio de ;inmitten
la altura;Höhe
el clima;Klima
seco/-a;trocken
templado/-a ;mild, gemäßigt
la estatua;Statue
el Cristo;(Jesus) Christus
la concordia;Eintracht
Bolivia ;Bolivien
el/la boliviano/-a ;Bolivianer/in
la hamburguesa;Hamburger
la cadena de comida rápida;Fastfood-Kette
la empanada;gefüllte Teigpastete
el éxito;Erfolg
el documental;Dokumentarfilm
¿Por qué quebró McDonald's...?;Warum ging McDonald's ... in Konkurs?
gastronómico/-a ;gastronomisch, kulinarisch
la preparación ;Zubereitung
el maíz ;Mais
donde;wo (Relativpronomen)
preguntar por las razones;nach den Gründen fragen
el / la cocinero/-a ;Koch/Köchin
el/la historiador/a;Historiker/in
el /la nutricionista;Ernährungswissenschaftler/in
el / la psicólogo/-a ;Psychologe/-in
la mentalidad;Mentalität, Geisteshaltung
la tierra;"Erde; Land; Heimat"
el sabor;Geschmack
intenso/-a;intensiv, eindringlich 
fuerte;stark
muchas horas de cocina;viele Stunden zur Zubereitung
la hora;Stunde
el alimento;Lebensmittel
por eso;deshalb
desconfiar de;misstrauen
el minuto costar (ue);Minute kosten
el peso (boliviano);bolivianische Währung
el dólar;Dollar 
sin embargo;jedoch, trotzdem 
por ejemplo ;zum Beispiel
el almuerzo;Mittagessen
completo/-a;vollständig, komplett
el mercado;Markt
Popular;volkstümlich
