completad (inf: completar);"vervollständigt; ergänzt"
rellena (inf: rellenar);fülle aus 
preferido/-a ;bevorzugt, Lieblings-
ser (yo soy) alérgico/-a ;gegen etw. allergisch sein
a la preferencia;Vorliebe 
colgad (inf: colgar);hängt auf 
siguiente;folgende/r/s
consistir en ;bestehen in
el intercambio lingüístico/-a;Sprachaustausch
el campo de trabajo;Workcamp
el interrail;Interrail
el campamento;Ferienlager 
hace;vor (Zeit)
gracias a;dank
el proyecto solidario ;Hilfsprojekt
la ONG (Organización No Gubernamental);Nichtregierungsorganisation
con mucha ilusión;begierig, sehnlich, voller Hoffnung 
menos mal;glücklicherweise, zum Glück 
peruano/-a ;peruanisch
más de cerca;näher, aus nächster Nähe 
aprovechar la oportunidad de ;die Gelegenheit nutzen
el / la voluntario/-a;Freiwillige/r
caminar;gehen, wandern 
sagrado/-a ;heilig, ehrwürdig
el/la inca;Inka
merecer (zc) la pena;sich lohnen 
pasado/-a;vergangen, vorig
recorrer;bereisen
la conexión;Verbindung
Londres ;London
el Eurostar;Eurostar-Zug
París;Paris
Ámsterdam;Amsterdam
Berlín;Berlin
Múnich;München
Salzburgo;Salzburg
Austria;Österreich
hacia;gegen, nach, in Richtung
Atenas;Athen 
horas y horas ;stundenlang
la estación;Bahnhof
hacer (g) amigos;Freunde finden, Freundschaft schließen
el montón ;Haufen 
tener (g, je) malas experiencias;schlechte Erfahrungen machen
regresar;zurückkehren 
en ningún momento ;zu keiner Zeit
el recuerdo;Erinnerung 
increíble;unglaublich
mencionar;erwähnen
alojarse;übernachten
el hotel ;Hotel
el barco;Boot, Schiff 
turístico/-a;touristisch
el indefinido;Indefinido
el verbo;Verb
ayer;gestern
(el) enero;Januar 
pregunta (inf: preguntar);frage
último/-a ;letzte/r/s
el continente;Kontinent
ponerse (g) enfermo/-a;krank werden
alguien;jemand
el accidente;Unfall
¿Qué tal el viaje? ;Wie war die Reise?
el foro ;Forum
la entrada ;Eintrag
resume (inf: resumir);fasse zusammen 
contar (ue);berichten von
el inti;Gottheit in der Mythologie der Inka
la competición ;Wettbewerb, Wettkampf
la página de inicio ;Startseite
la ficha;Steckbrief
la expedición;Expedition
la isla;Insel 
poco a poco;nach und nach
tomar forma;Gestalt annehmen 
desde entonces;seither, seitdem
la duración;Dauer
el / la participante ;Teilnehmer/in 
de todo el mundo ;aus aller Welt
enfrentarse a nuevos retos;sich neuen Herausforderungen stellen
desarrollar;entwickeln
Marruecos ;Marokko
final;End-
Marrakech;Marrakesch
Suiza;Schweiz
Eslovaquia;Slowakei
Hungria ;Ungarn 
hace poco;kürzlich, vor kurzem 
hacer (g) realidad un sueño;einen Traum verwirklichen
el sueño;Traum
financiar;finanzieren
el / la organizador/a;Veranstalter/in, Organisator/in
la cuota;Beitrag, Gebühr
el / la colaborador/a ;Mitarbeiter/in
el /la particular ;Privatperson
la institución pública;öffentliche Einrichtung
el Ministerio de Asuntos Exteriores;Außenministerium
la fundación;Gründung
el /la fundador/a ;Gründer/in
el/la patrocinador/a ;Schirmherr/in, Sponsor/in 
buscad (inf: buscar);sucht
la diferencia;Unterschied
el requisito;Anforderung, Voraussetzung 
en cambio ;hingegen, stattdessen 
por un lado ..., por otro;einerseits ..., andererseits
tener (g, ie) alma de viajero/-a ;reiselustig sein
el alma f ;Seele
la expresión temporal;Zeitangabe 
últimamente ;in letzter Zeit
bajo la lluvia ;im Regen
convivir ;zusammenleben
bañarse ;(sich) baden
el Danubio ;Donau 
hablad (inf: hablar);sprecht
volver (ue) a casa ;heimkehren
tener (g, ie) en cuenta ;berücksichtigen, bedenken 
pensad (inf: pensar);denkt 
proponed (inf: proponer);schlagt vor
puntuar;mit Punkten bewerten, benoten
el / la más votado/-a ;mit den meisten Stimmen 
votar;abstimmen, stimmen für 
describir;beschreiben 
durar;dauern
es necesario + inf ;es ist notwendig
la cuota de inscripción;Anmeldegebühr
el camino (de Santiago);(Jakobs-)Weg
el millón ;Million
el/ la peregrino/-a ;Pilger/in
habla (inf: hablar);sprich
el sello;"Briefmarke; Stempel"
sacar dinero;Geld abheben
recargar;aufladen
la tarjeta prepago ;Prepaidkarte
la consigna;Gepäckaufbewahrung, Schließfach
el matasellos;Poststempel 
certificar ;bescheinigen
la etapa;Etappe, Abschnitt 
transportar;befördern 
la salida;Start, Abfahrt
la llegada;Ankunft
imaginad (inf: imaginar);stellt euch vor
elegid (inf: elegir);wählt aus
el papel ;Rolle 
simulad (inf: simular);spielt, stellt nach
la alternativa;Alternative 
seguro/-a ;sicher
la condición;Bedingung 
despacio;langsam
Panamá ;Panama
europeo/-a ;europäisch
la costa;Küste
el Pacífico ;Pazifik
el rascacielos;Wolkenkratzer
bancario/-a;Bank-
el canal;Kanal 
considerado/-a;betrachtet, erachtet, angesehen 
octavo/-a ;achte/r/s 
la maravilla;Wunder 
fundado/-a;gegründet
(el) marzo;März
(el) julio;luli
(el) agosto;August
(el) diciembre;Dezember 
apostar (ue) por ;setzen auf
la atracción turística;Touristenmagnet
la atracción;"Anziehungskraft; Attraktion "
vecino/-a ;benachbart, Nachbar-
las ruinas ;Trümmer, Ruinen
América ;Amerika 
existir;existieren, bestehen 
diferenciador/a;differenzierend, unterscheidend
la región ;Region, Gebiet 
justificar ;rechtfertigen
el/la administrador/a;Geschäftsführer/in, Verwalter/in, Manager/in
el interés (por);Interesse (an)
la obra ;Werk
el/la visitante ;Besucher/in
el/la turista;Tourist/in
el mirador;Aussichtspunkt
lleno/-a;voll
el éxito;Erfolg
el fracaso;Scheitern, Misserfolg 
el escándalo ;Skandal, Ärgernis
el/la emperador/a;Kaiser/in 
quinto/-a (in röm. Ziffern: V);fünfte/r/s
ordenar;befehlen, anordnen 
construir (v);bauen, errichten
el océano ;Ozean
el Atlántico;Atlantik 
pasar;verstreichen, vergehen
el /la director/a ;Leiter/in
el /la diplomático/-a ;Diplomat/in
el/la empresario/-a;Unternehmer/in
Egipto;Ägypten
la ruina;Ruin, Verderben
el /la accionista;Aktionär/in
Estados Unidos;Vereinigte Staaten, USA
firmar ;unterschreiben
el tratado;Vertrag, Pakt
el acuerdo;Übereinkommen, Vereinbarung
el derecho;Recht
seguir (i) con ;fortfahren, weitermachen
la construcción;Bau, Baukunst 
explotar;betreiben, nutzen 
futuro/-a;(zu)künftig
la organización;Organisation 
finalmente;schließlich, endlich 
desde;seit
la república;Republik
el / la responsable;Verantwortliche/r
