el/la universitario/-a ;Student/in
la ventaia;Vorteil
la desventaia ;Nachteil
la alimentación;Ernährung
contrastar;gegenüberstellen
positivo/-a;positiv
pues bien;also gut, nun gut 
enfadarse;sich ärgern, böse werden 
cantar;singen 
administrar;verwalten 
antes;früher
lleno/-a ;voll
la magia;Magie, Zauberei 
entre semana;unter der Woche 
olvidar ;vergessen
el chocolate;Schokolade 
esperar;(er)warten 
estar (yo estoy) ahí;da sein 
especialmente;besonders, überwiegend 
protestar ;sich beschweren, schimpfen 
de maravilla;wunderbar, glänzend, super 
el centro de atención;Mittelpunkt, Fokus 
soñar (ue) (con);träumen (von) 
llevar;mitbringen 
cualquier/a;irgendeine/r/s
sin dar explicaciones;ohne weitere Erklärungen
¿Desde cuándo?;Seit wann?
entrar;eintreten, hineingehen 
con toda libertad ;völlig frei
las tareas de la casa pl ;Hausarbeit
el imperfecto;Imperfekt
poner (g) la lavadora;die Waschmaschine anstellen, Wäsche waschen
tirar la basura ;Abfall entsorgen 
recoger la mesa;den Tisch abräumen 
cambiar ;(sich) verändern 
la vivienda;Wohnung, Unterkunft 
marroquí;marrokanisch
latino/-a;Latino-, lateinisch
inglés/-esa;englisch
el ático;Dachwohnung
el sótano;Keller
ponerse (g) de acuerdo;sich absprechen, sich einigen
representar un papel ;eine Rolle spielen
el trabajo de fin de máster;Masterarbeit
sacar la basura ;den Abfall hinausbringen
la capital;Hauptstadt
América Latina;Lateinamerika 
residir;wohnen, ansässig sein
la población;Bevölkerung
el carnaval;Karneval, Fasching
la sede;Sitz
el Mercosur;Gemeinsamer Markt Südamerikas
fundado/-a;gegründet
la república;Republik
el hospital;Krankenhaus 
central ;zentral, Haupt-
la parte;Teil
(el) marzo;März
(el) julio;Juli
(el) agosto;August
(el) diciembre;Dezember
el/la protagonista;Hauptdarsteller, Hauptperson
la autogestión ;Selbstverwaltung
la solidaridad ;Solidarität
el cooperativismo;Genossenschaftsbewegung
uruguayo/-a;uruguayisch
el movimiento;Bewegung
la cooperativa de viviendas;Wohnungsbaugenossenschaft
mutuo/-a;gegenseitig
sencillo/-a;einfach
organizarse;sich zusammenschließen
democrático/-a;demokratisch
entre todos;gemeinsam
cooperativo/-a;genossenschaftlich, Genossenschafts-
técnico/-a ;technisch 
el terreno ;Gelände, Grundstück
el crédito;Kredit, Darlehen
la asamblea;Versammlung
el diseño;Design, Gestaltung 
realizar;durchführen, einbringen
tener (g, ¡e) derecho ;Recht haben 
a pedir (i) permiso ;auf um Erlaubnis bitten
el /la cooperativista ;Genossenschaftler/in
ocupar ;bewohnen
el sorteo ;Verlosung, Auslosung 
corresponder ;zustehen, zukommen 
día a día ;tagtäglich, Tag für Tag
la educación ;Bildung
el consumo ;Verbrauch, Konsum 
limitarse ;sich beschränken auf 
a la propiedad social ;gemeinschaftlicher Besitz 
sino que ;sondern 
promover (ue);fördern 
vecinal;nachbarschaflich, Gemeinde-
